SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4111704,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,3
4111705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
4111707,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,10
4111708,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,8
4111709,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,12,0,18
4111710,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,13
4111711,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,7,11,0,16
4111712,0,0,0,0,0,0,0,0,0,8,0,0,7,3,0,3,12,11,0,21
4111713,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,8,3,0,11
4111714,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,5,5,0,9
4111715,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,0,11
4111716,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,0,15
4111801,0,0,0,0,0,0,0,0,0,3,6,0,11,0,0,0,11,3,0,14
4111802,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,3,0,11
4111803,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,6,0,7
4111804,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,10,5,0,14
4111805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,8
4111806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
4111807,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,9,0,13
4111808,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,4,0,11
4111809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8
4111810,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,4
4111811,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,7,7,0,9
4111812,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,6,7,0,15
4111813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111814,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,4,0,15
4111901,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,9,14,0,22
4111902,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,6
4111903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4111904,0,0,0,0,0,0,0,0,0,7,3,0,9,0,0,0,10,4,0,12
4111905,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,4,9,0,16
4111906,0,0,0,0,0,0,0,0,0,3,3,0,6,4,0,6,8,6,0,10
